Type,ID,Label,Cleaning,number,Sr/Ca [mmol/mol],Ba/Ca [umol/mol],U/Ca [nmol/mol],Na_Ca [mmol/mol],Mg_Ca [mmol/mol],Mn_Ca [umol/mol],Fe_Ca [umol/mol],Al_Ca [umol/mol],230Th/238U A.R.,± 2 s.e.,230Th/234U A.R.,± 2 s.e..1,234U (dpm/g),± 2 s.e..2,238U (dpm/g),± 2 s.e..3,[234U] nmols/ mol Ca,[238U] nmols/ g CaCO3,[234U] nmols/ Ca mol,[238U]nmols/ Ca mol,[234U],[238U],[234U]/[238U],Measured U/Ca [nmol/mol],Unnamed: 29,Unnamed: 30
Sediment,250409_MC47_006,1A,NO,1,2.4240384752474555,11.994102980491613,468.3895595438076,17.210719873136657,9.04612260932498,175.65853023117276,556.8064995329007,513.9031739346847,0.6101123638991947,0.009659858120147833,0.5380264966498017,0.008759467497463877,0.8845713395883599,0.01398907150507946,0.7800576533705214,0.0025140929474624894,0.0002737144040804313,4.393036617587753,0.02739522618975772,439.68541664084364,4.980950216319586,4.428741102345323,1.1246876033647193,468.389559543808,,
Sediment,250409_MK49_008,1C,NO,1,2.345928293878571,12.4210935332361,449.2971593032706,17.329182493403763,9.02414281473312,165.6397343820345,521.8168243699243,548.6695761659207,0.6113403454519396,0.011098193331586362,0.5222410184349545,0.009732582951566319,0.9257044702460794,0.015014527363940051,0.7907883863835521,0.002861715093430612,0.00028644229819373086,4.453468693160776,0.028669121655086123,445.7338757455133,5.212567573652023,4.489664340708232,1.161014984213665,449.2971593032706,,
Sediment,250409_MK51_010,2B,SON,2,1.5979015509006576,7.006678669499552,308.31198972930645,18.82129046929329,3.4112927201749854,47.29571595199434,167.46871571763438,156.3431622820941,0.28793120032151515,0.00889948507225908,0.25014198454203973,0.008358449300705468,0.6150286544267987,0.01549132021068562,0.5343098906848269,0.001566364550570865,0.00019030935562207982,3.0090633747078073,0.01904747344521154,301.1678250780428,3.463176990038462,3.033519591841688,1.1416365990687152,308.31198972930645,,
Sediment,250409_MK52_014,2C,SON,2,1.6682384240136723,7.296222430339202,320.7144097559301,18.326195021745924,3.569038446941203,44.414757823823244,157.62759062691416,141.92032139848197,0.26745036769803937,0.011832331707506256,0.23195391778314434,0.010783570590813113,0.6414257919217263,0.014868572449519658,0.5562947124880361,0.0023661545080180995,0.00019847746647475074,3.1328748991449182,0.019864994339311732,313.5597367432275,3.6118171526021334,3.158337396688432,1.1435817960390118,320.7144097559301,,
Sediment,250409_MK53_015,3A,SON-RED,3,1.3415621166647502,5.7020981777185344,223.36742932630972,18.67329926158967,1.1983217414583234,15.484944635332528,25.883426323940235,72.38008408945117,0.11467667624357794,0.0047935019894853655,0.10000325369432765,0.004788254876576986,0.4361736629041414,0.010863870018925463,0.3803631819040423,0.0014264766471405556,0.00013496595342207604,2.142084471406322,0.013508323883559981,214.3945942811974,2.4560588879199967,2.1594943017848247,1.1373305712777575,223.36742932630972,,
Sediment,250409_MK54_016,3B,SON-RED,3,1.5575845128239232,5.942119785146838,236.96242951649464,29.761961607080888,1.409895514986543,15.630759401881026,25.78692042263827,53.63773308714414,0.10715733028928495,0.004807314900627178,0.09311853865602608,0.0043796363697899705,0.4550012663976748,0.006639748006839053,0.3953910842983117,0.0013950254070308659,0.00014079181058006772,2.2267168382811358,0.01409141586634618,222.86518552136022,2.5620756120629418,2.244814519755844,1.141330648708386,236.96242951649464,,
Sediment,250409_MK55_017,3C,SON-RED,3,1.4277933288311244,6.387162272412955,247.06680639675164,18.79052898864428,0.9257149203402124,15.710662717164421,30.05358954150387,59.87691798887488,0.10381470441637841,0.0036417684292928323,0.09059346235672197,0.003492224677275105,0.44557097161871734,0.008068161729517142,0.3888256222614641,0.001536652745364092,0.00013787377853425632,2.1897422441410357,0.01379935908478026,219.1645130151194,2.5089743790509567,2.2075394139315008,1.1365479425722314,247.06680639675164,,
Sediment,250409_MK56_018,4A,SON-RED-OX,4,1.3244922852859213,6.485687884822839,218.43171399770733,19.685248179403228,0.9664150942769436,15.895692464599502,17.47462352076996,45.282253824305165,0.09660210731280937,0.003377014314032404,0.08328701125304137,0.003088423032783018,0.43924003179876875,0.005943464066839992,0.37869763392169214,0.0010169233741542834,0.00013591478512973038,2.132704634873473,0.013603289507800811,213.4557955201178,2.473325365054693,2.1500382304604932,1.150363435409685,218.43171399770733,,
Sediment,250409_MK58_022,4C,SON-RED-OX,4,1.4717601344048605,6.720492569879498,230.31890204975423,18.90239105252989,3.0758591947397695,14.818881820090528,19.593911628595208,46.06978616682399,0.10552467529276917,0.006113318013533736,0.09219569825078752,0.005621388034348565,0.45817645066355467,0.007789239082987942,0.40030350885987,0.0012679457836137552,0.00014177431321189086,2.254382051085365,0.0141897515090072,225.63411090877582,2.579954819819491,2.272704582078725,1.135191454341919,230.31890204975423,,
